ID,Exchange,RemoteName,CLLIcode,Description
2777,DECKER,ASH CREEK,DCKRMTXCRS1,DCKR-ASHC
2778,DECKER,YOUNGS CREEK,DCKRMTXCRS1,DCKR-YONG
2779,DECKER,GORMAN SUBDIVISION,DCKRMTXCRS1,DCKR-GORM
2780,DECKER,BADGER CREEK,DCKRMTXCRS1,DCKR-BDGR
2781,DECKER,PINE BUTTE,DCKRMTXCRS1,DCKR-PNBT
2782,DECKER,FORKS RANCH,DCKRMTXCRS1,DCKR-FKRN
2783,DECKER,DECKER,DCKRMTXCRS1,DCKR-CO
2784,LAMEDEER,LAME DEER CENTRAL OFFICE,LMDRMTXCRS1,LMDR-CO
2785,LAMEDEER,LAME DEER S,LMDRMTXCRS1,LMDR-LMDS
2786,LAMEDEER,MUDDY SOUTH,LMDRMTXCRS1,LMDR-MCKS
2787,LAMEDEER,MUDDY CLUSTER,LMDRMTXCRS1,LMDR-MDCL
2788,LAMEDEER,LAME DEER N,LMDRMTXCRS1,LMDR-LMDN
2790,SOUTHEAST SHERIDAN,CAT CREEK,SESNWYXCDS0,SESN-CTCK
2791,SOUTHEAST SHERIDAN,DOW PRONG,SESNWYXCDS0,SESN-DOWP
2792,SOUTHEAST SHERIDAN,UCROSS,SESNWYXCDS0,SESN-UXRS
2793,SOUTHEAST SHERIDAN,JIM CREEK,SESNWYXCDS0,SESN-JIMC
2794,SOUTHEAST SHERIDAN,SHERIDAN,SESNWYXCDS0,SESN-CO
2795,SOUTHEAST SHERIDAN,PINEY CREEK,SESNWYXCDS0,SESN-PNCK
2796,SOUTHEAST SHERIDAN,HARDESTY,SESNWYXCDS0,SESN-HARD
2840,OSAGE,RT OSAG OSAGE,OSAGWYXCRS1,OSAG-CO
2841,HLTT,RT HLTT HULETT,HLTT,HLTT-CO
2855,SHERIDAN,SHERIDAN ACT POP,SHRDWYCTDS0,SHRD-ACTP
2856,SHOSHONI,SHOSHONI,SHSHWYXC,SHSH-CO
2857,,RT BRNS-ALPH ALPHA,BRNS-ALPH,BRNS-ALPH
2858,,RT BRNS-HLDN HILLSDALE NORTH,BRNS-HLDN,BRNS-HLDN
2859,,RT BRNS-WGWL WAGON WHEEL,BRNS-WGWL,BRNS-WGWL
2860,MRCR,RT MRCR-IKCR INYAN KARA CREEK,MRCR-IKCR,MRCR-IKCR
2861,,RT PNBL-PAPT 411 PINE ST APTS,PNBL-PAPT,PNBL-PAPT
2862,,RT PNBL-PBHS PINE BLUFFS HIGH SCHOOL,PNBL-PBHS,PNBL-PBHS
2864,,RT THRM-KRBY  KIRBY,THRM-KRBY,THRM-KRBY
