ID,Exchange,RemoteName,CLLIcode,InventoryItem,Route,Size,NumDucts,SubDuct1,SubDuct2,SubDuct3,Length,ConduitType,ConduitClass,WONumber,PostingState,TaxDist,DatePlaced,DateRetired,Ducts,FCCCode,TaxID,Cost,InUse,Color,Trench,LegacyID,DrawName,Handle,Matched_Map,Matched_MapID,Matched_RecordID,CompanyCode,CompanyCodeID,WIRECENTER_Id,TaxDistrict,Name,WONum,Comment,FromJUNCTION_Id,ToJUNCTION_Id,CONDUIT,CONDUIT2,YEAR,TypeSuffix,SizeSuffix,ACADLayer,ACADBlock,ACADFileName
3132,PNBL,,,,,2,DUCT,,,,110,,,,FPA,,,,,,,,,,,68161,M:\RT\PNBL\PINE BLUFFS.dwg,2951D,,,,RT,,,,,,RED DUCT,66404,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3136,PNBL,,,,1210,1.25,1X1,,,,140,UD,,,FPA,,,,,,,,,,,66292,m:\rt\pnbl\pine bluffs.dwg,16100,,,,RT,779,,,,,,65555,,,,17,,,CONDUIT,_no_Value,PINE BLUFFS
3139,PNBL,,,,,1.25,1X1,,,,600,,,,FPA,,,,,,,,,,,59137,m:\rt\kayc\KAYCEE.dwg,11DB11,,,,RT,,,,,,FUTURE,62689,,,,14,,,CONDUIT,_no_Value,PINE BLUFFS
3141,BRNS,,,,,1.25,1,,,,1904,UD,,,FPA,,,,,,,,,,,58899,m:\rt\brns\burns.dwg,31DD,,,,RT,,,,,,,62598,62599,,,11,,,CONDUIT,_no_Value,BURNS
3144,PNBL,,,,,1.25,1X3,,,,184,UD,,,FPA,,,,,,,,,,,67339,M:\RT\PNBL\PINE BLUFFS.dwg,204CF,,,,RT,,,,,,,66164,66168,,,2014,,,CONDUIT,_no_Value,PINE BLUFFS
3145,,,,,,2,DUCT,,,,118,,,,FPA,,,,,,,,,,,68186,M:\RT\PNBL\PINE BLUFFS.dwg,29645,,,,RT,,,,,,WHITE DUCT,66411,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3147,PNBL,,,,1210,1.25,1X2,,,,60,UD,,,FPA,,,,,,,,,,,66294,m:\rt\pnbl\pine bluffs.dwg,16109,,,,RT,779,,,,,,65553,65554,,,17,,,CONDUIT,_no_Value,PINE BLUFFS
3151,BRNS,,,,,1.25,1X1,,,,65,UD,,,FPA,,,,,,,,,,,59728,m:\rt\brns\burns.dwg,5FCE,,,,RT,4099,,,,,,63292,63291,,,14,,,CONDUIT,_no_Value,BURNS
3153,PNBL,,,,,,DUCT,,,,86,,,,FPA,,,,,,,,,,,67966,M:\RT\PNBL\PINE BLUFFS.dwg,27FB1,,,,RT,,,,DROP,,RED DUCT,66373,66373,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3155,GSHL,,,,,,"4""BIP",,,,55,,,,FPA,,,,,,,,,,,39204,m:\rt\gshl\GAS HILLS.dwg,110902,,,,RT,28068,,,,,,,,,,,,,CONDUIT,_no_Value,GAS HILLS
